Date,Open,High,Low,Close,Adj Close,Volume
21-03-2022,163.509995,166.350006,163.009995,165.380005,163.720093,95811400
22-03-2022,165.509995,169.419998,164.910004,168.820007,167.125565,81532000
23-03-2022,167.990005,172.639999,167.649994,170.210007,168.501602,98062700
24-03-2022,171.059998,174.139999,170.210007,174.070007,172.322876,90131400
25-03-2022,173.880005,175.279999,172.75,174.720001,172.966339,80546200
28-03-2022,172.169998,175.729996,172,175.600006,173.837509,90371900
29-03-2022,176.690002,179.009995,176.339996,178.960007,177.163788,100589400
30-03-2022,178.550003,179.610001,176.699997,177.770004,175.985748,92633200
31-03-2022,177.839996,178.029999,174.399994,174.610001,172.857437,103049300
01-04-2022,174.029999,174.880005,171.940002,174.309998,172.560455,78751300
04-04-2022,174.570007,178.490005,174.440002,178.440002,176.649002,76468400
05-04-2022,177.5,178.300003,174.419998,175.059998,173.302933,73401800
06-04-2022,172.360001,173.630005,170.130005,171.830002,170.105362,89058800
07-04-2022,171.160004,173.360001,169.850006,172.139999,170.412231,77594700
08-04-2022,171.779999,171.779999,169.199997,170.089996,168.382813,76575500
11-04-2022,168.710007,169.029999,165.5,165.75,164.086349,72246700
12-04-2022,168.020004,169.869995,166.639999,167.660004,165.977203,79265200
13-04-2022,167.389999,171.039993,166.770004,170.399994,168.689667,70618900
14-04-2022,170.619995,171.270004,165.039993,165.289993,163.630997,75329400
18-04-2022,163.919998,166.600006,163.570007,165.070007,163.413208,69023900
19-04-2022,165.020004,167.820007,163.910004,167.399994,165.719818,67723800
20-04-2022,168.759995,168.880005,166.100006,167.229996,165.551498,67929800
21-04-2022,168.910004,171.529999,165.910004,166.419998,164.749649,87227800
22-04-2022,166.460007,167.869995,161.5,161.789993,160.166077,84882400
25-04-2022,161.119995,163.169998,158.460007,162.880005,161.245178,96046400
26-04-2022,162.25,162.339996,156.720001,156.800003,155.226227,95623200
27-04-2022,155.910004,159.789993,155.380005,156.570007,154.99852,88063200
28-04-2022,159.25,164.520004,158.929993,163.639999,161.997559,130216800
29-04-2022,161.839996,166.199997,157.25,157.649994,156.067642,131747600
02-05-2022,156.710007,158.229996,153.270004,157.960007,156.374573,123055300
03-05-2022,158.149994,160.710007,156.320007,159.479996,157.879318,88966500
04-05-2022,159.669998,166.479996,159.259995,166.020004,164.353668,108256500
05-05-2022,163.850006,164.080002,154.949997,156.770004,155.196487,130525300
06-05-2022,156.009995,159.440002,154.179993,157.279999,155.93013,116124600
09-05-2022,154.929993,155.830002,151.490005,152.059998,150.754929,131577900
10-05-2022,155.520004,156.740005,152.929993,154.509995,153.183929,115366700
11-05-2022,153.5,155.449997,145.809998,146.5,145.242676,142689800
12-05-2022,142.770004,146.199997,138.800003,142.559998,141.336472,182602000
13-05-2022,144.589996,148.100006,143.110001,147.110001,145.847443,113990900
16-05-2022,145.550003,147.520004,144.179993,145.539993,144.290909,86643800
17-05-2022,148.860001,149.770004,146.679993,149.240005,147.959167,78336300
18-05-2022,146.850006,147.360001,139.899994,140.820007,139.61142,109742900
19-05-2022,139.880005,141.660004,136.600006,137.350006,136.171204,136095600
20-05-2022,139.089996,140.699997,132.610001,137.589996,136.409149,137426100
23-05-2022,137.789993,143.259995,137.649994,143.110001,141.88176,117726300
24-05-2022,140.809998,141.970001,137.330002,140.360001,139.155365,104132700
25-05-2022,138.429993,141.789993,138.339996,140.520004,139.31398,92482700
26-05-2022,137.389999,144.339996,137.139999,143.779999,142.546005,90601500
27-05-2022,145.389999,149.679993,145.259995,149.639999,148.355713,90978500
31-05-2022,149.070007,150.660004,146.839996,148.839996,147.562576,103718400
01-06-2022,149.899994,151.740005,147.679993,148.710007,147.433701,74286600
02-06-2022,147.830002,151.270004,146.860001,151.210007,149.912247,72348100
03-06-2022,146.899994,147.970001,144.460007,145.380005,144.132294,88570300
06-06-2022,147.029999,148.570007,144.899994,146.139999,144.885742,71598400
07-06-2022,144.350006,149,144.100006,148.710007,147.433701,67808200
08-06-2022,148.580002,149.869995,147.460007,147.960007,146.690155,53950200
09-06-2022,147.080002,147.949997,142.529999,142.639999,141.415817,69473000
10-06-2022,140.279999,140.759995,137.059998,137.130005,135.953094,91437900
13-06-2022,132.869995,135.199997,131.440002,131.880005,130.748138,122207100
14-06-2022,133.130005,133.889999,131.479996,132.759995,131.620605,84784300
15-06-2022,134.289993,137.339996,132.160004,135.429993,134.26767,91533000
16-06-2022,132.080002,132.389999,129.039993,130.059998,128.943756,108123900
17-06-2022,130.070007,133.080002,129.809998,131.559998,130.430878,134520300
21-06-2022,133.419998,137.059998,133.320007,135.869995,134.703888,81000500
22-06-2022,134.789993,137.759995,133.910004,135.350006,134.18837,73409200
23-06-2022,136.820007,138.589996,135.630005,138.270004,137.083298,72433800
24-06-2022,139.899994,141.910004,139.770004,141.660004,140.444214,89116800
27-06-2022,142.699997,143.490005,140.970001,141.660004,140.444214,70207900
28-06-2022,142.130005,143.419998,137.320007,137.440002,136.260437,67083400
29-06-2022,137.460007,140.669998,136.669998,139.229996,138.035049,66242400
30-06-2022,137.25,138.369995,133.770004,136.720001,135.546616,98964500
01-07-2022,136.039993,139.039993,135.660004,138.929993,137.73764,71051600
05-07-2022,137.770004,141.610001,136.929993,141.559998,140.345062,73353800
06-07-2022,141.350006,144.119995,141.080002,142.919998,141.693375,74064300
07-07-2022,143.289993,146.550003,143.279999,146.350006,145.093979,66253700
08-07-2022,145.259995,147.550003,145,147.039993,145.778015,64547800
11-07-2022,145.669998,146.639999,143.779999,144.869995,143.626648,63141600
12-07-2022,145.759995,148.449997,145.050003,145.860001,144.60817,77588800
13-07-2022,142.990005,146.449997,142.119995,145.490005,144.241348,71185600
14-07-2022,144.080002,148.949997,143.25,148.470001,147.195786,78140700
15-07-2022,149.779999,150.860001,148.199997,150.169998,148.881165,76259900
18-07-2022,150.740005,151.570007,146.699997,147.070007,145.807785,81420900
19-07-2022,147.919998,151.229996,146.910004,151,149.704041,82982400
20-07-2022,151.119995,153.720001,150.369995,153.039993,151.726547,64823400
21-07-2022,154.5,155.570007,151.940002,155.350006,154.016739,65086600
22-07-2022,155.389999,156.279999,153.410004,154.089996,152.767532,66675400
25-07-2022,154.009995,155.039993,152.279999,152.949997,151.637314,53623900
26-07-2022,152.259995,153.089996,150.800003,151.600006,150.29892,55138700
27-07-2022,152.580002,157.330002,152.160004,156.789993,155.444351,78620700
28-07-2022,156.979996,157.639999,154.410004,157.350006,155.999542,81378700
29-07-2022,161.240005,163.630005,159.5,162.509995,161.11525,101786900
01-08-2022,161.009995,163.589996,160.889999,161.509995,160.123856,67829400
02-08-2022,160.100006,162.410004,159.630005,160.009995,158.636688,59907000
03-08-2022,160.839996,166.589996,160.75,166.130005,164.704193,82507500
04-08-2022,166.009995,167.190002,164.429993,165.809998,164.386932,55474100
05-08-2022,163.210007,165.850006,163,165.350006,164.1586,56697000
08-08-2022,166.369995,167.809998,164.199997,164.869995,163.682053,60276900
09-08-2022,164.020004,165.820007,163.25,164.919998,163.73172,63135500
10-08-2022,167.679993,169.339996,166.899994,169.240005,168.020569,70170500
11-08-2022,170.059998,170.990005,168.190002,168.490005,167.275986,57149200
12-08-2022,169.820007,172.169998,169.399994,172.100006,170.85994,68039400
15-08-2022,171.520004,173.389999,171.350006,173.190002,171.942093,54091700
16-08-2022,172.779999,173.710007,171.660004,173.029999,171.783249,56377100
17-08-2022,172.770004,176.149994,172.570007,174.550003,173.292313,79542000
18-08-2022,173.75,174.899994,173.119995,174.149994,172.895203,62290100
19-08-2022,173.029999,173.740005,171.309998,171.520004,170.284134,70346300
22-08-2022,169.690002,169.860001,167.139999,167.570007,166.36261,69026800
23-08-2022,167.080002,168.710007,166.649994,167.229996,166.025055,54147100
24-08-2022,167.320007,168.110001,166.25,167.529999,166.322876,53841500
25-08-2022,168.779999,170.139999,168.350006,170.029999,168.804886,51218200
26-08-2022,170.570007,171.050003,163.559998,163.619995,162.441055,78961000
29-08-2022,161.149994,162.899994,159.820007,161.380005,160.217209,73314000
30-08-2022,162.130005,162.559998,157.720001,158.910004,157.765015,77906200
31-08-2022,160.309998,160.580002,157.139999,157.220001,156.087158,87991100
01-09-2022,156.639999,158.419998,154.669998,157.960007,156.821854,74229900
02-09-2022,159.75,160.360001,154.970001,155.809998,154.687347,76957800
06-09-2022,156.470001,157.089996,153.690002,154.529999,153.41655,73714800
07-09-2022,154.820007,156.669998,153.610001,155.960007,154.836258,87449600
08-09-2022,154.639999,156.360001,152.679993,154.460007,153.347061,84923800
09-09-2022,155.470001,157.820007,154.75,157.369995,156.236099,68028800
12-09-2022,159.589996,164.259995,159.300003,163.429993,162.252426,104956000
13-09-2022,159.899994,160.539993,153.369995,153.839996,152.731522,122656600
14-09-2022,154.789993,157.100006,153.610001,155.309998,154.190933,87965400
15-09-2022,154.649994,155.240005,151.380005,152.369995,151.27211,90481100
16-09-2022,151.210007,151.350006,148.369995,150.699997,149.614151,162278800
19-09-2022,149.309998,154.559998,149.100006,154.479996,153.366928,81474200
20-09-2022,153.399994,158.080002,153.080002,156.899994,155.769485,107689800
21-09-2022,157.339996,158.740005,153.600006,153.720001,152.612381,101696800
22-09-2022,152.380005,154.470001,150.910004,152.740005,151.639481,86652500
23-09-2022,151.190002,151.470001,148.559998,150.429993,149.346085,96029900
26-09-2022,149.660004,153.770004,149.639999,150.770004,149.683655,93339400
27-09-2022,152.740005,154.720001,149.949997,151.759995,150.666504,84442700
28-09-2022,147.639999,150.639999,144.839996,149.839996,148.760361,146691400
29-09-2022,146.100006,146.720001,140.679993,142.479996,141.453384,128138200
30-09-2022,141.279999,143.100006,138,138.199997,137.204208,124925300
03-10-2022,138.210007,143.070007,137.690002,142.449997,141.423599,114311700
04-10-2022,145.029999,146.220001,144.259995,146.100006,145.047302,87830100
05-10-2022,144.070007,147.380005,143.009995,146.399994,145.345123,79471000
06-10-2022,145.809998,147.539993,145.220001,145.429993,144.382111,68402200
07-10-2022,142.539993,143.100006,139.449997,140.089996,139.080597,85925600
10-10-2022,140.419998,141.889999,138.570007,140.419998,139.408218,74899000
11-10-2022,139.899994,141.350006,138.220001,138.979996,137.978577,77033700
12-10-2022,139.130005,140.360001,138.160004,138.339996,137.343201,70433700
13-10-2022,134.990005,143.589996,134.369995,142.990005,141.959702,113224000
14-10-2022,144.309998,144.520004,138.190002,138.380005,137.382919,88598000
17-10-2022,141.070007,142.899994,140.270004,142.410004,141.383896,85250900
18-10-2022,145.490005,146.699997,140.610001,143.75,142.714233,99136600
19-10-2022,141.690002,144.949997,141.5,143.860001,142.823425,61758300
20-10-2022,143.020004,145.889999,142.649994,143.389999,142.356812,64522000
21-10-2022,142.869995,147.850006,142.649994,147.270004,146.208862,86548600
24-10-2022,147.190002,150.229996,146,149.449997,148.373138,75981900
25-10-2022,150.089996,152.490005,149.360001,152.339996,151.242325,74732300
26-10-2022,150.960007,151.990005,148.039993,149.350006,148.27388,88194300
27-10-2022,148.070007,149.050003,144.130005,144.800003,143.756638,109180200
28-10-2022,148.199997,157.5,147.820007,155.740005,154.617844,164762400
31-10-2022,153.160004,154.240005,151.919998,153.339996,152.235123,97943200
